,group,song_lines,tokenized,lemmatized
131,Kaleo,"so, baby, don't hurt yourself, oh no","['so', ',', 'baby', ',', 'do', ""n't"", 'hurt', 'yourself', ',', 'oh', 'no']","so , baby , do n't hurt yourself , oh no"
132,Kaleo,"said, i might just be, i might just be the one","['said', ',', 'i', 'might', 'just', 'be', ',', 'i', 'might', 'just', 'be', 'the', 'one']","said , i might just be , i might just be the one"
133,Kaleo,"and maybe i'm not the same, oh","['and', 'maybe', 'i', ""'m"", 'not', 'the', 'same', ',', 'oh']","and maybe i 'm not the same , oh"
134,Kaleo,but i might just be the one,"['but', 'i', 'might', 'just', 'be', 'the', 'one']",but i might just be the one
135,Kaleo,"so, baby, don't hurt yourself, oh no","['so', ',', 'baby', ',', 'do', ""n't"", 'hurt', 'yourself', ',', 'oh', 'no']","so , baby , do n't hurt yourself , oh no"
136,Kaleo,"said, i might just be, i might just be the one","['said', ',', 'i', 'might', 'just', 'be', ',', 'i', 'might', 'just', 'be', 'the', 'one']","said , i might just be , i might just be the one"
137,Kaleo,who you with? you got fooled again,"['who', 'you', 'with', '?', 'you', 'got', 'fooled', 'again']",who you with ? you got fooled again
138,Kaleo,"whoa, and someone's out to get ya, yeah","['whoa', ',', 'and', 'someone', ""'s"", 'out', 'to', 'get', 'ya', ',', 'yeah']","whoa , and someone 's out to get ya , yeah"
139,Kaleo,"whoa, i'm comin' back around for you","['whoa', ',', 'i', ""'m"", 'comin', ""'"", 'back', 'around', 'for', 'you']","whoa , i 'm comin ' back around for you"
140,Kaleo,"whoa, they're callin' me back so i better go, now","['whoa', ',', 'they', ""'re"", 'callin', ""'"", 'me', 'back', 'so', 'i', 'better', 'go', ',', 'now']","whoa , they 're callin ' me back so i better go , now"
141,Kaleo,"whoa, yeah","['whoa', ',', 'yeah']","whoa , yeah"
142,Kaleo,you feel the rush in your head,"['you', 'feel', 'the', 'rush', 'in', 'your', 'head']",you feel the rush in your head
143,Kaleo,this is the time to attack,"['this', 'is', 'the', 'time', 'to', 'attack']",this is the time to attack
144,Kaleo,you've got to win in your bag,"['you', ""'ve"", 'got', 'to', 'win', 'in', 'your', 'bag']",you 've got to win in your bag
145,Kaleo,"now, go ahead","['now', ',', 'go', 'ahead']","now , go ahead"
146,Kaleo,lately i'm not the same,"['lately', 'i', ""'m"", 'not', 'the', 'same']",lately i 'm not the same
147,Kaleo,i might just be the one,"['i', 'might', 'just', 'be', 'the', 'one']",i might just be the one
148,Kaleo,"so, baby, don't hurt yourself","['so', ',', 'baby', ',', 'do', ""n't"", 'hurt', 'yourself']","so , baby , do n't hurt yourself"
149,Kaleo,"said, i might, i, i might just be the one","['said', ',', 'i', 'might', ',', 'i', ',', 'i', 'might', 'just', 'be', 'the', 'one']","said , i might , i , i might just be the one"
150,Kaleo,"no, lately i'm not the same, no","['no', ',', 'lately', 'i', ""'m"", 'not', 'the', 'same', ',', 'no']","no , lately i 'm not the same , no"
151,Kaleo,"ooh, i might just be the one, yeah-yeah","['ooh', ',', 'i', 'might', 'just', 'be', 'the', 'one', ',', 'yeah-yeah']","ooh , i might just be the one , yeah-yeah"
152,Kaleo,"oh, baby, don't hurt yourself, no","['oh', ',', 'baby', ',', 'do', ""n't"", 'hurt', 'yourself', ',', 'no']","oh , baby , do n't hurt yourself , no"
153,Kaleo,"see, i might just be, come on, let's go","['see', ',', 'i', 'might', 'just', 'be', ',', 'come', 'on', ',', 'let', ""'s"", 'go']","see , i might just be , come on , let 's go"
154,Kaleo,all the pretty girls like samuel,"['all', 'the', 'pretty', 'girls', 'like', 'samuel']",all the pretty girl like samuel
155,Kaleo,"oh, he really doesn't share","['oh', ',', 'he', 'really', 'does', ""n't"", 'share']","oh , he really doe n't share"
156,Kaleo,although it's more than he can handle,"['although', 'it', ""'s"", 'more', 'than', 'he', 'can', 'handle']",although it 's more than he can handle
157,Kaleo,"life is anything but fair, life is anything but fair","['life', 'is', 'anything', 'but', 'fair', ',', 'life', 'is', 'anything', 'but', 'fair']","life is anything but fair , life is anything but fair"
158,Kaleo,"oh oh, oh oh ooh","['oh', 'oh', ',', 'oh', 'oh', 'ooh']","oh oh , oh oh ooh"
159,Kaleo,"oh oh, oh oh","['oh', 'oh', ',', 'oh', 'oh']","oh oh , oh oh"
160,Kaleo,just as soon as they turn older,"['just', 'as', 'soon', 'as', 'they', 'turn', 'older']",just a soon a they turn older
161,Kaleo,he'll come and sweep them off their feet,"['he', ""'ll"", 'come', 'and', 'sweep', 'them', 'off', 'their', 'feet']",he 'll come and sweep them off their foot
162,Kaleo,it's only making me feel smaller,"['it', ""'s"", 'only', 'making', 'me', 'feel', 'smaller']",it 's only making me feel smaller
163,Kaleo,all the hidden love beneath,"['all', 'the', 'hidden', 'love', 'beneath']",all the hidden love beneath
164,Kaleo,"so won't you lay me, won't you lay me down","['so', 'wo', ""n't"", 'you', 'lay', 'me', ',', 'wo', ""n't"", 'you', 'lay', 'me', 'down']","so wo n't you lay me , wo n't you lay me down"
165,Kaleo,"won't you lay me, won't you lay me down","['wo', ""n't"", 'you', 'lay', 'me', ',', 'wo', ""n't"", 'you', 'lay', 'me', 'down']","wo n't you lay me , wo n't you lay me down"
166,Kaleo,"won't you lay me, won't you lay me down","['wo', ""n't"", 'you', 'lay', 'me', ',', 'wo', ""n't"", 'you', 'lay', 'me', 'down']","wo n't you lay me , wo n't you lay me down"
167,Kaleo,"you lay me, won't you lay me down","['you', 'lay', 'me', ',', 'wo', ""n't"", 'you', 'lay', 'me', 'down']","you lay me , wo n't you lay me down"
168,Kaleo,"all alone, alone again","['all', 'alone', ',', 'alone', 'again']","all alone , alone again"
169,Kaleo,no one lends a helping hand,"['no', 'one', 'lends', 'a', 'helping', 'hand']",no one lends a helping hand
170,Kaleo,"i have waited, i have waited","['i', 'have', 'waited', ',', 'i', 'have', 'waited']","i have waited , i have waited"
171,Kaleo,"takes it's toll, my foolish pride","['takes', 'it', ""'s"", 'toll', ',', 'my', 'foolish', 'pride']","take it 's toll , my foolish pride"
172,Kaleo,how long before i see the light,"['how', 'long', 'before', 'i', 'see', 'the', 'light']",how long before i see the light
173,Kaleo,"i have waited, i have waited","['i', 'have', 'waited', ',', 'i', 'have', 'waited']","i have waited , i have waited"
174,Kaleo,for you to lay me down,"['for', 'you', 'to', 'lay', 'me', 'down']",for you to lay me down
175,Kaleo,"sail on by, sail on by for now","['sail', 'on', 'by', ',', 'sail', 'on', 'by', 'for', 'now']","sail on by , sail on by for now"
176,Kaleo,they play naked in the water,"['they', 'play', 'naked', 'in', 'the', 'water']",they play naked in the water
177,Kaleo,"you know it's hard, heaven knows i've tried","['you', 'know', 'it', ""'s"", 'hard', ',', 'heaven', 'knows', 'i', ""'ve"", 'tried']","you know it 's hard , heaven know i 've tried"
178,Kaleo,but it just keeps getting harder,"['but', 'it', 'just', 'keeps', 'getting', 'harder']",but it just keep getting harder
179,Kaleo,"so won't you lay me, won't you lay me down","['so', 'wo', ""n't"", 'you', 'lay', 'me', ',', 'wo', ""n't"", 'you', 'lay', 'me', 'down']","so wo n't you lay me , wo n't you lay me down"
180,Kaleo,"won't you lay me, won't you lay me down","['wo', ""n't"", 'you', 'lay', 'me', ',', 'wo', ""n't"", 'you', 'lay', 'me', 'down']","wo n't you lay me , wo n't you lay me down"
181,Kaleo,"won't you lay me, won't you lay me down","['wo', ""n't"", 'you', 'lay', 'me', ',', 'wo', ""n't"", 'you', 'lay', 'me', 'down']","wo n't you lay me , wo n't you lay me down"
182,Kaleo,"won't you lay me, won't you lay ","['wo', ""n't"", 'you', 'lay', 'me', ',', 'wo', ""n't"", 'you', 'lay']","wo n't you lay me , wo n't you lay"
183,Kaleo,"oh, won't you lay me, oh won't you lay me down","['oh', ',', 'wo', ""n't"", 'you', 'lay', 'me', ',', 'oh', 'wo', ""n't"", 'you', 'lay', 'me', 'down']","oh , wo n't you lay me , oh wo n't you lay me down"
184,Kaleo,"won't you lay me, oh won't you lay me down","['wo', ""n't"", 'you', 'lay', 'me', ',', 'oh', 'wo', ""n't"", 'you', 'lay', 'me', 'down']","wo n't you lay me , oh wo n't you lay me down"
185,Kaleo,"oh, won't you lay me, won't you lay me down","['oh', ',', 'wo', ""n't"", 'you', 'lay', 'me', ',', 'wo', ""n't"", 'you', 'lay', 'me', 'down']","oh , wo n't you lay me , wo n't you lay me down"
186,Kaleo,won't you lay me down,"['wo', ""n't"", 'you', 'lay', 'me', 'down']",wo n't you lay me down
187,Kaleo,"oh, i'll wait, i'll wait, i'll wait, i'll wait for you","['oh', ',', 'i', ""'ll"", 'wait', ',', 'i', ""'ll"", 'wait', ',', 'i', ""'ll"", 'wait', ',', 'i', ""'ll"", 'wait', 'for', 'you']","oh , i 'll wait , i 'll wait , i 'll wait , i 'll wait for you"
188,Kaleo,"yeah, i'll wait, i'll wait, i'll wait, i'll wait for you","['yeah', ',', 'i', ""'ll"", 'wait', ',', 'i', ""'ll"", 'wait', ',', 'i', ""'ll"", 'wait', ',', 'i', ""'ll"", 'wait', 'for', 'you']","yeah , i 'll wait , i 'll wait , i 'll wait , i 'll wait for you"
189,Kaleo,"oh, i'll wait, i'll wait, i'll wait, i'll wait for you","['oh', ',', 'i', ""'ll"", 'wait', ',', 'i', ""'ll"", 'wait', ',', 'i', ""'ll"", 'wait', ',', 'i', ""'ll"", 'wait', 'for', 'you']","oh , i 'll wait , i 'll wait , i 'll wait , i 'll wait for you"
190,Kaleo,"oh, i'll wait, i'll wait, i'll wait, i'll wait for you","['oh', ',', 'i', ""'ll"", 'wait', ',', 'i', ""'ll"", 'wait', ',', 'i', ""'ll"", 'wait', ',', 'i', ""'ll"", 'wait', 'for', 'you']","oh , i 'll wait , i 'll wait , i 'll wait , i 'll wait for you"
191,Kaleo,"for you to lay me, won't you let me down","['for', 'you', 'to', 'lay', 'me', ',', 'wo', ""n't"", 'you', 'let', 'me', 'down']","for you to lay me , wo n't you let me down"
192,Kaleo,"hold the line, yeah","['hold', 'the', 'line', ',', 'yeah']","hold the line , yeah"
193,Kaleo,do you fight for pride or glory?,"['do', 'you', 'fight', 'for', 'pride', 'or', 'glory', '?']",do you fight for pride or glory ?
194,Kaleo,do you hold your scars close to your heart?,"['do', 'you', 'hold', 'your', 'scars', 'close', 'to', 'your', 'heart', '?']",do you hold your scar close to your heart ?
195,Kaleo,"fall behind, yeah","['fall', 'behind', ',', 'yeah']","fall behind , yeah"
196,Kaleo,who will live to tell your story?,"['who', 'will', 'live', 'to', 'tell', 'your', 'story', '?']",who will live to tell your story ?
197,Kaleo,you were taught to leave no man behind,"['you', 'were', 'taught', 'to', 'leave', 'no', 'man', 'behind']",you were taught to leave no man behind
198,Kaleo,i don't know where you have gone,"['i', 'do', ""n't"", 'know', 'where', 'you', 'have', 'gone']",i do n't know where you have gone
199,Kaleo,you used to be the heart of this town,"['you', 'used', 'to', 'be', 'the', 'heart', 'of', 'this', 'town']",you used to be the heart of this town
200,Kaleo,now you waste your tears on someone else,"['now', 'you', 'waste', 'your', 'tears', 'on', 'someone', 'else']",now you waste your tear on someone else
201,Kaleo,i don't know where you are now,"['i', 'do', ""n't"", 'know', 'where', 'you', 'are', 'now']",i do n't know where you are now
202,Kaleo,you used to have a heart of gold,"['you', 'used', 'to', 'have', 'a', 'heart', 'of', 'gold']",you used to have a heart of gold
203,Kaleo,only trust yourself and no one else,"['only', 'trust', 'yourself', 'and', 'no', 'one', 'else']",only trust yourself and no one else
204,Kaleo,"hold your fire, yeah","['hold', 'your', 'fire', ',', 'yeah']","hold your fire , yeah"
205,Kaleo,brave young men will fall before they,"['brave', 'young', 'men', 'will', 'fall', 'before', 'they']",brave young men will fall before they
206,Kaleo,ever get to watch their young ones grow,"['ever', 'get', 'to', 'watch', 'their', 'young', 'ones', 'grow']",ever get to watch their young one grow
207,Kaleo,"hear me now, yeah","['hear', 'me', 'now', ',', 'yeah']","hear me now , yeah"
208,Kaleo,carry all my sins and i will,"['carry', 'all', 'my', 'sins', 'and', 'i', 'will']",carry all my sin and i will
209,Kaleo,learn to love the flag and nothing more,"['learn', 'to', 'love', 'the', 'flag', 'and', 'nothing', 'more']",learn to love the flag and nothing more
210,Kaleo,"oh, i don't know where you have gone","['oh', ',', 'i', 'do', ""n't"", 'know', 'where', 'you', 'have', 'gone']","oh , i do n't know where you have gone"
211,Kaleo,you used to be the heart of this town,"['you', 'used', 'to', 'be', 'the', 'heart', 'of', 'this', 'town']",you used to be the heart of this town
212,Kaleo,wasted all your tears on someone else,"['wasted', 'all', 'your', 'tears', 'on', 'someone', 'else']",wasted all your tear on someone else
213,Kaleo,i don't know where you are now,"['i', 'do', ""n't"", 'know', 'where', 'you', 'are', 'now']",i do n't know where you are now
214,Kaleo,you used to have a heart of gold,"['you', 'used', 'to', 'have', 'a', 'heart', 'of', 'gold']",you used to have a heart of gold
215,Kaleo,only trust yourself and no one else,"['only', 'trust', 'yourself', 'and', 'no', 'one', 'else']",only trust yourself and no one else
216,Kaleo,"oh, no one else","['oh', ',', 'no', 'one', 'else']","oh , no one else"
217,Kaleo,"oh, oh","['oh', ',', 'oh']","oh , oh"
218,Kaleo,"oh, oh","['oh', ',', 'oh']","oh , oh"
219,Kaleo,you've got your back against the wall,"['you', ""'ve"", 'got', 'your', 'back', 'against', 'the', 'wall']",you 've got your back against the wall
220,Kaleo,"say, where's your backbone, brother?","['say', ',', 'where', ""'s"", 'your', 'backbone', ',', 'brother', '?']","say , where 's your backbone , brother ?"
